方向,代碼,名稱,訂單價格,訂單數量,訂單金額,交易狀態,已成交@均價,下單時間,類型,期限,盤前競價,時段,觸發價,允許開倉,市場,幣種,訂單來源,成交數量,成交價格,成交金額,成交時間,市場,幣種,對手經紀,備註,佣金,平台使用費,交收費,印花稅,交易費,證監會徵費,財匯局徵費,證監會規費,交易活動費,期權監管費,期權清算費,期權交收費,綜合審計跟蹤監管費,合計費用
賣出,STX260501C652500,STX 260501 652.50C,21.5,1,"2,150.00",全部成交,1@21.50,2026/04/30 09:46:48 (美東),限價單,當日有效,,,,,美股,USD,,1,21.5,"2,150.00",2026/04/30 09:47:25 (美東),美股,USD,,,1.99,0.3,,,,,,0.04,0.01,0.01,0.02,0.18,,2.55
賣出,LITE260508C845000,LITE 260508 845.00C,90,1,"9,000.00",全部成交,1@90.00,2026/04/30 09:43:40 (美東),限價單,當日有效,,,,,美股,USD,,1,90,"9,000.00",2026/04/30 09:44:51 (美東),美股,USD,,,1.99,0.3,,,,,,0.19,0.01,0.01,0.02,0.18,,2.7
賣出,STX260501C652500,STX 260501 652.50C,21.5,1,"2,150.00",全部成交,1@21.50,2026/04/30 09:43:24 (美東),限價單,當日有效,,,,,美股,USD,,1,21.5,"2,150.00",2026/04/30 09:44:14 (美東),美股,USD,,,1.99,0.3,,,,,,0.04,0.01,0.01,0.02,0.18,,2.55
買入,LITE260508C845000,LITE 260508 845.00C,88.2,1,"8,820.00",全部成交,1@88.20,2026/04/30 09:39:38 (美東),限價單,當日有效,,,,,美股,USD,,1,88.2,"8,820.00",2026/04/30 09:39:38 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
買入,LITE260508C845000,LITE 260508 845.00C,72,1,"7,200.00",已撤單,0@0.00,2026/04/30 09:39:06 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
買入,STX260501C652500,STX 260501 652.50C,17.1,1,"1,710.00",全部成交,1@17.10,2026/04/30 09:36:22 (美東),限價單,當日有效,,,,,美股,USD,,1,17.1,"1,710.00",2026/04/30 09:36:30 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
買入,STX260501C652500,STX 260501 652.50C,18,1,"1,800.00",全部成交,1@17.08,2026/04/30 09:36:07 (美東),限價單,當日有效,,,,,美股,USD,,1,17.08,"1,708.00",2026/04/30 09:36:07 (美東),美股,USD,,,1.99,0.3,,,,,,,,0.01,0.02,0.18,,2.5
買入,STX260501C652500,STX 260501 652.50C,16,1,"1,600.00",已撤單,0@0.00,2026/04/30 09:35:38 (美東),限價單,當日有效,,,,,美股,USD,,,,,,,,,,,,,,,,,,,,,,,
賣出,SNDK260508P1060000,SNDK 260508 1060.00P,70,1,"7,000.00",全部成交,1@70.00,2026/04/30 09:31:32 (美東),限價單,當日有效,,,,,美股,USD,,1,70,"7,000.00",2026/04/30 09:32:11 (美東),美股,USD,,,1.99,0.3,,,,,,0.14,0.01,0.01,0.02,0.18,,2.65
賣出,SNDK260508P1070000,SNDK 260508 1070.00P,74,1,"7,400.00",全部成交,1@74.00,2026/04/30 09:31:16 (美東),限價單,當日有效,,,,,美股,USD,,1,74,"7,400.00",2026/04/30 09:32:26 (美東),美股,USD,,,1.99,0.3,,,,,,0.15,0.01,0.01,0.02,0.18,,2.66
買入,62712,恒指法巴八七牛X.C,0.022,"200,000","4,400.00",已撤單,0@0.00,2026/04/30 15:22:41 (香港),限價單,當日有效,不允許,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,
賣出,62712,恒指法巴八七牛X.C,0.024,"100,000","2,400.00",全部成交,"100,000@0.024",2026/04/30 15:05:53 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"100,000",0.024,"2,400.00",2026/04/30 15:09:37 (香港),港股,HKD,1344,,0,15,0.1,0,0.14,0.06,0,,,,,,,15.3
賣出,62712,恒指法巴八七牛X.C,0.024,"200,000","4,800.00",全部成交,"200,000@0.024",2026/04/30 14:56:21 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"200,000",0.024,"4,800.00",2026/04/30 14:59:18 (香港),港股,HKD,9692,,0,15,0.2,0,0.27,0.13,0.01,,,,,,,15.61
買入,62712,恒指法巴八七牛X.C,0.023,"100,000","2,300.00",全部成交,"100,000@0.023",2026/04/30 14:43:43 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"100,000",0.023,"2,300.00",2026/04/30 14:45:37 (香港),港股,HKD,2454,,0,15,0.1,0,0.13,0.06,0,,,,,,,15.29
賣出,62712,恒指法巴八七牛X.C,0.024,"170,000","4,080.00",全部成交,"170,000@0.024",2026/04/30 14:39:54 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"170,000",0.024,"4,080.00",2026/04/30 14:41:00 (香港),港股,HKD,8539,,0,15,0.17,0,0.23,0.11,0.01,,,,,,,15.52
買入,62712,恒指法巴八七牛X.C,0.023,"1,000,000","23,000.00",部成已撤,"870,000@0.023",2026/04/30 14:29:16 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"600,000",0.023,"13,800.00",2026/04/30 14:29:20 (香港),港股,HKD,2453,,0,15,0.85,0,1.12,0.55,0.02,,,,,,,17.54
,,,,,,,,,,,,,,,,,,"40,000",0.023,920,2026/04/30 14:29:20 (香港),港股,HKD,1479,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"50,000",0.023,"1,150.00",2026/04/30 14:29:19 (香港),港股,HKD,1479,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"60,000",0.023,"1,380.00",2026/04/30 14:29:17 (香港),港股,HKD,1479,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"10,000",0.023,230,2026/04/30 14:29:17 (香港),港股,HKD,1479,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"10,000",0.023,230,2026/04/30 14:29:17 (香港),港股,HKD,1479,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"10,000",0.023,230,2026/04/30 14:29:17 (香港),港股,HKD,1479,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"90,000",0.023,"2,070.00",2026/04/30 14:29:16 (香港),港股,HKD,2452,,,,,,,,,,,,,,,
賣出,62489,恒指摩通八甲牛V.C,0.025,"500,000","12,500.00",全部成交,"500,000@0.025",2026/04/30 14:28:42 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"490,000",0.025,"12,250.00",2026/04/30 14:28:52 (香港),港股,HKD,9709,,0,15,0.52,0,0.7,0.34,0.02,,,,,,,16.58
,,,,,,,,,,,,,,,,,,"10,000",0.025,250,2026/04/30 14:28:48 (香港),港股,HKD,9139,,,,,,,,,,,,,,,
賣出,62489,恒指摩通八甲牛V.C,0.026,"500,000","13,000.00",全部成交,"500,000@0.026",2026/04/30 14:13:58 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"20,000",0.026,520,2026/04/30 14:16:11 (香港),港股,HKD,1405,,0,15,0.55,0,0.74,0.35,0,,,,,,,16.64
,,,,,,,,,,,,,,,,,,"110,000",0.026,"2,860.00",2026/04/30 14:16:08 (香港),港股,HKD,1405,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"100,000",0.026,"2,600.00",2026/04/30 14:16:08 (香港),港股,HKD,1479,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"100,000",0.026,"2,600.00",2026/04/30 14:16:08 (香港),港股,HKD,1405,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"110,000",0.026,"2,860.00",2026/04/30 14:16:08 (香港),港股,HKD,1405,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"60,000",0.026,"1,560.00",2026/04/30 14:16:08 (香港),港股,HKD,1405,,,,,,,,,,,,,,,
買入,62489,恒指摩通八甲牛V.C,0.019,"200,000","3,800.00",已撤單,0@0.00,2026/04/30 13:38:23 (香港),限價單,當日有效,不允許,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,
買入,62489,恒指摩通八甲牛V.C,0.017,"100,000","1,700.00",全部成交,"100,000@0.017",2026/04/30 13:21:29 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"50,000",0.017,850,2026/04/30 13:26:42 (香港),港股,HKD,9127,,0,15,0.08,0,0.1,0.04,0,,,,,,,15.22
,,,,,,,,,,,,,,,,,,"50,000",0.017,850,2026/04/30 13:26:41 (香港),港股,HKD,9126,,,,,,,,,,,,,,,
買入,62489,恒指摩通八甲牛V.C,0.016,"100,000","1,600.00",全部成交,"100,000@0.016",2026/04/30 13:20:33 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"100,000",0.016,"1,600.00",2026/04/30 13:28:19 (香港),港股,HKD,8469,,0,15,0.07,0,0.09,0.04,0,,,,,,,15.2
買入,62489,恒指摩通八甲牛V.C,0.018,"300,000","5,400.00",全部成交,"300,000@0.018",2026/04/30 13:17:16 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"10,000",0.018,180,2026/04/30 13:17:34 (香港),港股,HKD,2453,,0,15,0.23,0,0.3,0.14,0.01,,,,,,,15.68
,,,,,,,,,,,,,,,,,,"50,000",0.018,900,2026/04/30 13:17:34 (香港),港股,HKD,1479,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"50,000",0.018,900,2026/04/30 13:17:34 (香港),港股,HKD,9127,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,"190,000",0.018,"3,420.00",2026/04/30 13:17:32 (香港),港股,HKD,1479,,,,,,,,,,,,,,,
買入,62489,恒指摩通八甲牛V.C,0.019,"200,000","3,800.00",已撤單,0@0.00,2026/04/30 13:13:48 (香港),限價單,當日有效,不允許,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,
買入,62489,恒指摩通八甲牛V.C,0.02,"500,000","10,000.00",全部成交,"500,000@0.02",2026/04/30 13:13:29 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"500,000",0.02,"10,000.00",2026/04/30 13:13:39 (香港),港股,HKD,2453,,0,15,0.42,0,0.57,0.27,0.02,,,,,,,16.28
買入,57143,恒指匯豐八乙牛Y.C,0.02,"1,000,000","20,000.00",已撤單,0@0.00,2026/04/30 13:07:09 (香港),限價單,當日有效,不允許,,,,港股,HKD,,,,,,,,,,,,,,,,,,,,,,,
賣出,57143,恒指匯豐八乙牛Y.C,0.021,"90,000","1,890.00",全部成交,"90,000@0.021",2026/04/30 13:04:04 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"90,000",0.021,"1,890.00",2026/04/30 13:04:07 (香港),港股,HKD,405,,0,15,0.08,0,0.11,0.05,0,,,,,,,15.24
賣出,57143,恒指匯豐八乙牛Y.C,0.021,"10,000",210,全部成交,"10,000@0.021",2026/04/30 13:03:59 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"10,000",0.021,210,2026/04/30 13:04:07 (香港),港股,HKD,405,,0,15,0.01,0,0.01,0.01,0,,,,,,,15.03
賣出,56601,恒指法巴八甲牛P.C,0.026,"500,000","13,000.00",全部成交,"500,000@0.026",2026/04/30 11:32:45 (香港),限價單,當日有效,不允許,,,,港股,HKD,,"40,000",0.026,"1,040.00",2026/04/30 11:49:42 (香港),港股,HKD,1442,,0,15,0.54,0,0.74,0.35,0.02,,,,,,,16.65
,,,,,,,,,,,,,,,,,,"460,000",0.026,"11,960.00",2026/04/30 11:49:42 (香港),港股,HKD,1444,,,,,,,,,,,,,,,
